2022-01-06 15,NewJerseyHisp,,"['coronavirus', 'covid', 'COVID19', 'Omicron']",🔴 Biden ordena duplicar compra de pastillas contra covid-19
2022-01-06 15,vinodkumarbali3,Vijayawada,"['MaheshBabu', 'Corona', 'Omicron']",RT @TFIMovieBuzz
2022-01-06 15,YuniDCuba,Cuba,['Ómicron'],RT @26deLasTunas
2022-01-06 15,3PrOtocol_droid,,"['Denmark', 'mRNA', 'Omicron']",RT @sputnikvaccine
2022-01-06 15,EuropeanTraders,Germany France Spain Italy ,[],$UAL $LUV $SPY $SPX $ARKK $TSLA $BBIG $FB $QQQ $NDX $MRNA $CZR $VIX $AAL $SAVE $CCL $DWAC $RCL $LCID
2022-01-06 15,simardren1,victoriaville,[],RT @JeanBottari
2022-01-06 15,bckaemper,"Stuttgart, Germany",['Omicron'],RT @BrinkmannLab
2022-01-06 15,CUSystem,COLORADO,"['Omicron', 'COVID19']",RT @CUToddSaliman
2022-01-06 15,tomiguieles,,['COVID19'],RT @rafaelg_fisica
2022-01-06 15,sheroohasan,"Allahabad, India","['TheDebate', 'Election2022', 'Elections', 'Corona', 'coronavirus', 'Omicron']","#TheDebate ""@koo पर किये गए सवाल के जवाब"""
2022-01-06 15,Loyomx,"Veracruz,Mexico",['COVID19'],RT @dicesmx
2022-01-06 15,v_cesar013,"Montréal, Québec",[],RT @JeanBottari
2022-01-06 15,laruedaprensa,Anzoátegui ,"['variante', 'ómicron']",Gobierno inicia encuesta masiva a la población para enfrentar #variante #ómicron https
2022-01-06 15,CBluesDC,"Washington, DC / MD / VA","['Omicron', 'COVID19']",RT @ErinSandersNP
2022-01-06 15,Lunaluneyinyang,,[],RT @bastien_tell
2022-01-06 15,NewJerseyHisp,,"['coronavirus', 'covid', 'COVID19', 'Omicron']",🔴 Biden ordena duplicar compra de pastillas contra covid-19
2022-01-06 15,vinodkumarbali3,Vijayawada,"['MaheshBabu', 'Corona', 'Omicron']",RT @TFIMovieBuzz
2022-01-06 15,YuniDCuba,Cuba,['Ómicron'],RT @26deLasTunas
2022-01-06 15,3PrOtocol_droid,,"['Denmark', 'mRNA', 'Omicron']",RT @sputnikvaccine
2022-01-06 15,Peter37570912,,[],RT @HowardSteen4
2022-01-06 15,HumanRe41270855,"Berlin, Germany",[],RT @CopaceticNI
2022-01-06 15,JahJavith,,"['AK', 'Valimai']",RT @Akshara_Reddy_
2022-01-06 15,TanagerScarlett,3rd Rock from the Sun,"['Omicron', 'ThirdWave']",RT @nehakhanna_07
2022-01-06 15,uccainna,"Rajasthan, India","['corona', 'Omicron', 'Weathercloud', 'बारिश', 'REET']",RT @Rashkagauri
